itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
52155,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,CLASS COLA,CLASS COLA,ORIGINAL TASTE PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,201904.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
52146,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,FRESH,FRESH,ORANGE PET 250 ML,PET,250.000 ML, ,ORANGE,,250.0,ML,0,0,201904.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52152,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,FROZENTA,FROZENTA,ORANGE PET 500 ML,PET,500.000 ML, ,ORANGE,,500.0,ML,0,0,201904.0,500.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
52158,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,MACHO DEW,MACHO DEW,PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,201904.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52153,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,STRIKE,STRIKE,CLEAR PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,201904.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52154,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,STRIKE,STRIKE,CLEAR PET 500 ML,PET,500.000 ML, ,LEMON,,500.0,ML,0,0,201904.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
52230,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,CLASS COLA,CLASS COLA,ORIGINAL TASTE PET 250 ML,PET,250.000 ML, ,COLA,,250.0,ML,0,0,201905.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52304,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,CLASS COLA,CLASS COLA,ORIGINAL TASTE PET 2250 ML,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,201905.0,2250.0,0.0,,,Y,ACTIVE,,0,2,,,
52334,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,FRESH,FRESH,ORANGE PET 500 ML,PET,500.000 ML, ,ORANGE,,500.0,ML,0,0,201905.0,500.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
52305,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,MANAKAMANA FRUIT & BEVERAGE-NP,MACHO DEW,MACHO DEW,PET 500 ML,PET,500.000 ML, ,LEMON,,500.0,ML,0,0,201905.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
