itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20150011,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML, ,COLA,,1500.0,ML,0,0,200710.0,1500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20150013,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML, ,ORANGE,,1500.0,ML,0,0,200710.0,1500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20150012,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,200710.0,1500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20110462,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY,SODA RGB 200 ML,RGB,200.000 ML, ,SODA,,200.0,ML,0,0,200808.0,200.0,0.0,,,Y,ACTIVE,,0,2,,,
20110800,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,BOTTLERS NEPAL - NEPAL,MINUTE MAID,MINUTE MAID,MANGO PET 300 ML,PET,300.000 ML, ,MANGO,,300.0,ML,0,0,201006.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110801,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,BOTTLERS NEPAL - NEPAL,MINUTE MAID,MINUTE MAID,MANGO PET 600 ML,PET,600.000 ML, ,MANGO,,600.0,ML,0,0,201006.0,600.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110802,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,BOTTLERS NEPAL - NEPAL,MINUTE MAID,MINUTE MAID,MANGO PET 1200 ML,PET,1200.000 ML, ,MANGO,,1200.0,ML,0,0,201007.0,1200.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20120379,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY,SODA RGB 250 ML,RGB,250.000 ML, ,SODA,,250.0,ML,0,0,201108.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20120417,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 2250 ML,PET,2250.000 ML, ,ORANGE,,2250.0,ML,0,0,201109.0,2250.0,0.0,,,Y,ACTIVE,,0,2,,,
20120418,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,201109.0,2250.0,0.0,,,Y,ACTIVE,,0,2,,,
20121858,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 300 ML,PET,300.000 ML, ,COLA,,300.0,ML,0,0,201311.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20122450,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 300 ML,PET,300.000 ML, ,ORANGE,,300.0,ML,0,0,201312.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20122636,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 300 ML,PET,300.000 ML, ,LEMON,,300.0,ML,0,0,201401.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20123342,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1000 ML,PET,1000.000 ML, ,COLA,,1000.0,ML,0,0,201403.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20123343,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 1000 ML,PET,1000.000 ML, ,ORANGE,,1000.0,ML,0,0,201403.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20123344,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1000 ML,PET,1000.000 ML, ,LEMON,,1000.0,ML,0,0,201403.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20125224,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,BOTTLERS NEPAL - NEPAL,MINUTE MAID,MINUTE MAID,MANGO TPK 200 ML,TPK,200.000 ML, ,MANGO,,200.0,ML,0,0,201510.0,200.0,0.0,,,Y,ACTIVE,,0,2,,,
20125860,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON PET 500 ML,PET,500.000 ML, ,LEMON,,500.0,ML,0,0,201606.0,500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20126047,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 750 ML,PET,750.000 ML, ,COLA,,750.0,ML,0,0,201607.0,750.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20126048,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 750 ML,PET,750.000 ML, ,LEMON,,750.0,ML,0,0,201607.0,750.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20126497,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 750 ML,PET,750.000 ML, ,ORANGE,,750.0,ML,0,0,201609.0,750.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
40126628,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY,PET 500 ML,PET,500.000 ML, ,,,500.0,ML,0,0,201609.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
20162467,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2250 ML+125ML MAAZA MANGO FREE,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,201702.0,2250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20162468,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 2250 ML+125ML MAAZA MANGO FREE,PET,2250.000 ML, ,ORANGE,,2250.0,ML,0,0,201702.0,2250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20162469,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML+125ML MAAZA MANGO FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,201702.0,2250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
47247,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,RGB 250 ML,RGB,250.000 ML, ,LEMON,,250.0,ML,0,0,201711.0,250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
52789,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 250 ML,PET,250.000 ML, ,COLA,,250.0,ML,0,0,201907.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52745,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 250 ML,PET,250.000 ML, ,ORANGE,,250.0,ML,0,0,201907.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
52744,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,201907.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
99762453,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 175 ML,RGB,175.000 ML, ,COLA,,175.0,ML,0,0,202108.0,175.0,25.0,,,Y,ACTIVE,,0,2,,,
99762454,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE RGB 175 ML,RGB,175.000 ML, ,ORANGE,,175.0,ML,0,0,202108.0,175.0,25.0,,,Y,ACTIVE,,0,2,,,
99762455,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,RGB 175 ML,RGB,175.000 ML, ,LEMON,,175.0,ML,0,0,202108.0,175.0,25.0,,,Y,ACTIVE,,0,2,,,
20110004,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 1000 ML,RGB,1000.000 ML, ,COLA,,1000.0,ML,0,0,0.0,1000.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110006,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE RGB 1000 ML,RGB,1000.000 ML, ,ORANGE,,1000.0,ML,0,0,0.0,1000.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110007,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,RGB 1000 ML,RGB,1000.000 ML, ,LEMON,,1000.0,ML,0,0,0.0,1000.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110130,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 175 ML,RGB,175.000 ML, ,COLA,,175.0,ML,0,0,200101.0,175.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110238,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE RGB 200 ML,RGB,200.000 ML, ,ORANGE,,200.0,ML,0,0,200303.0,200.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110249,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON RGB 200 ML,RGB,200.000 ML, ,LEMON,,200.0,ML,0,0,200307.0,200.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110255,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 200 ML,RGB,200.000 ML, ,COLA,,200.0,ML,0,0,200309.0,200.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110268,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,RGB 200 ML,RGB,200.000 ML, ,LEMON,,200.0,ML,0,0,200406.0,200.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
99763299,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA ZERO SUGAR,PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,202203.0,500.0,70.0,,,Y,ACTIVE,,0,2,,,
99763438,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA APPLE,APPLE PET 250 ML,PET,250.000 ML, ,APPLE,,250.0,ML,0,0,202204.0,250.0,40.0,,,Y,ACTIVE,,0,2,,,
99763540,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA APPLE,APPLE PET 500 ML,PET,500.000 ML, ,APPLE,,500.0,ML,0,0,202204.0,500.0,70.0,,,Y,ACTIVE,,0,2,,,
99763901,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA ZERO SUGAR,PET 250 ML,PET,250.000 ML, ,COLA,,250.0,ML,0,0,202207.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99764087,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY,SODA PET 250 ML,PET,250.000 ML, ,SODA,,250.0,ML,0,0,202209.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99764278,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA ZERO SUGAR,RGB 250 ML,RGB,250.000 ML, ,COLA,,250.0,ML,0,0,202211.0,250.0,40.0,,,Y,ACTIVE,,0,2,,,
99764516,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,BOTTLERS NEPAL - NEPAL,CHARGED,CHARGED BERRY BOLT,PET 250 ML,PET,250.000 ML, ,BERRY,,250.0,ML,0,0,202301.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99764934,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,COCA-COLA PET 2250 ML+250 ML COCA-COLA ZERO SUGAR FREE,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,202304.0,2250.0,260.0,,,Y,ACTIVE,,0,2,,,
99764966,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+2 PM AKABARE NOODLES 80 GM FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202305.0,2250.0,260.0,,,Y,ACTIVE,,0,2,,,
99765132,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,COCA-COLA PET 2250 ML+250 ML COCA-COLA FREE,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,202402.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765133,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,COCA-COLA PET 1500 ML+250 ML COCA-COLA FREE,PET,1500.000 ML, ,COLA,,1500.0,ML,0,0,202402.0,1500.0,190.0,,,Y,ACTIVE,,0,2,,,
99765134,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 1500 ML+250 ML SPRITE FREE,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,202402.0,1500.0,190.0,,,Y,ACTIVE,,0,2,,,
