itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
99765022,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JUSICA,JUSICA,MANGO PET 250 ML,PET,250.000 ML, ,MANGO,,250.0,ML,0,0,202306.0,250.0,45.0,,,Y,ACTIVE,,0,2,,,
99765023,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JUSICA,JUSICA,MANGO PET 500 ML,PET,500.000 ML, ,MANGO,,500.0,ML,0,0,202306.0,500.0,90.0,,,Y,ACTIVE,,0,2,,,
99765111,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW,PET 1000 ML,PET,1000.000 ML, ,LEMON,,1000.0,ML,0,0,202312.0,1000.0,120.0,,,Y,ACTIVE,,0,2,,,
99765191,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,3 STAR,3 STAR,LEMON PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,202405.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99765192,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,MANGO DRINK PET 300 ML,PET,300.000 ML, ,MANGO,,300.0,ML,0,0,202405.0,300.0,120.0,,,Y,ACTIVE,,0,2,,,
99765248,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,STRAWBERRY PET 300 ML,PET,300.000 ML, ,STRAWBERRY,,300.0,ML,0,0,202407.0,300.0,120.0,,,Y,ACTIVE,,0,2,,,
99765279,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,PRANAM,PRANAM,LITCHI PET 125 ML,PET,125.000 ML, ,LYCHEE,,125.0,ML,0,0,202409.0,125.0,20.0,,,Y,ACTIVE,,0,2,,,
99765285,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,NIMUE,NIMUE NIMBU PANI,PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,202409.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
99765304,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,ORANGE PET 300 ML,PET,300.000 ML, ,ORANGE,,300.0,ML,0,0,202410.0,300.0,120.0,,,Y,ACTIVE,,0,2,,,
99765305,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,BLUEBERRY PET 250 ML,PET,250.000 ML, ,BLUEBERRY,,250.0,ML,0,0,202410.0,250.0,100.0,,,Y,ACTIVE,,0,2,,,
