PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202506,2,116313561,11301020007,1.75021E+12,134,AGRO THAI FOODS PVT LTD-NEPAL,LION,LION CLASSIC ENERGY DRINK CAN 330ML,130,330ML,CAN,,1750214574121-agro thai foods pvt ltd-nepal-lion#3.png
202506,2,112177036,31304020011,1.75125E+12,134,SINGAPORE BEVERAGE-NEPAL,NATURALS,NATURALS-GUAVA PBT 200ML ,40,200 ML,PBT,Any other reason,1751254373983-singapore beverage-nepal-naturals#3.png
202506,2,111895878,31304020002,1.75126E+12,134,SINGAPORE BEVERAGE-NEPAL,NATURALS,NATURALS-LYCHEE PET 200 ML,40,PBT,200 ML,Any other reason,1751263071771-singapore beverage-nepal-naturals#3.png
202506,2,5.16754E+11,51675020008,1.751E+12,118,NEPAL M.D FOOD & BEVERAGE-NEPAL,CROSS-COLA,CROSS-COLA/1000ML/PBT,140,1000ML ,PBT,,1751003519426-nepal m-d food - beverage-nepal-cross-cola#3.png
202506,2,5.16754E+11,51675020008,1.751E+12,134,D.K.T INDUSTRIES-NEPAL,BE FRESH,BE FRESH/1000ML/PBT/DRINKING WATER,25,1000ML ,PBT,,1751003832643-d-k-t industries-nepal-be fresh#3.png
202506,2,116650592,11301020012,1.75104E+12,134,AGRO THAI FOODS PVT LTD-NEPAL,MAX TIGER,MAX TIGER CLASSIC-CAN 330ML ,130,330ML,CAN,,
202506,2,128993711,12201020018,1.75021E+12,134,AGRO THAI FOODS PVT LTD-NEPAL,LION,LION CLASSIC ENERGY DRINK CAN 330ML,130,330ML,CAN,,
202506,2,128897531,12201020027,1.75104E+12,134,AGRO THAI FOODS PVT LTD-NEPAL,MAX TIGER,MAX TIGER CLASSIC-CAN 330ML ,130,330ML,CAN,,1751036121383-agro thai foods pvt ltd-nepal-max tiger#3.png
202506,2,128850829,21202020024,1.7503E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\POMEGRANATE ,100,250ML,CAN,Sales Deviation is OK,
202506,2,129374175,21202020036,1.74963E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\MIXED FRUIT ,100,250ML,CAN,,
202506,2,129374175,21202020036,1.7503E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\POMEGRANATE ,100,250ML,CAN,,
202506,2,125119392,42301020031,1.75066E+12,134,DUBUR NEPAL PVT LTD ,LEMON BEVERAGE ,BURRST NIMBU FIZZ,50,250ML,PET,Sales Deviation is OK,1750655371992-dubur nepal pvt ltd -lemon beverage #3.png
202506,2,127703376,21202020022,1.75067E+12,134,GOODLIFE BEVERAGE-NEPAL,NATO NATO,NATO NATO\320ML\PBT\BLACK CURRANT,100,320ML,PBT,,1750674547994-goodlife beverage-nepal-nato nato#3.png
202506,2,127703376,21202020022,1.75067E+12,134,GOODLIFE BEVERAGE-NEPAL,NATO NATO,NATO NATO\320ML\PBT\LYCHEE,100,320ML,PBT,,1750674908459-goodlife beverage-nepal-nato nato#3.png
202506,2,130519909,21202020015,1.7503E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\POMEGRANATE ,100,250ML,CAN,,
202506,2,130529765,21202020028,1.75067E+12,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,SDU BADAM,SDU BADAM\180ML\CAN\NON CARBONATED DRINK,100,180ML,CAN,,1750668710078-mahabaleshwor dairy - beverage-nepal-sdu badam#3.png
202506,2,113111790,52204020012,1.75032E+12,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW/500ML/PBT/LEMON ,80,500ML ,PBT,,1750317626292-shambhavi food - beverages-nepal-maintain dew#3.png
202506,2,113379406,52204020008,1.75031E+12,134,BHAGESHWOR FOOD & BEVERAGE-NEPAL,KESHARI,KESHARI/500ML/PBT/MINRAL WATER ,15,500ML ,PBT,,1750309644015-bhageshwor food - beverage-nepal-keshari#3.png
202506,3,1220102372,12201030159,1.74937E+12,126,SONA TOBACCO UDHYOG PVT LTD.NEPAL,BAADSHAH,BAADSHAH PAN MASALA PPH 2.5G,10,2.5G,PPH,,1749367353601-sona tobacco udhyog pvt ltd-nepal-baadshah#3.png
202506,3,1210102757,12101030210,1.74961E+12,125,BABA LOKENATH TOBACCO INDIA,BABA,BABA- BABA KHAINI PPH-13 GM.,4.8,13 GM.,PPH,,1749608625938-baba lokenath tobacco india-baba#3.png
202506,2,124954698,21301020011,1.75014E+12,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST GUAVA TASTY &REFRESHING ,REAL BURRST GUAVA TASTY & REFRESHING/170/ML,25,170 ML,TPK,New SKU,
202506,2,132681011,22304020001,1.7503E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\POMEGRANATE ,100,250ML,CAN,,1750297157238-maruti dairy product-nepal-season#3.png
202506,2,126458375,21301020029,1.75014E+12,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST GUAVA TASTY &REFRESHING ,REAL BURRST GUAVA TASTY & REFRESHING/170/ML,25,170 ML,TPK,,1750136218202-dabur nepal ltd--nepal-real burrst guava tasty -refreshing #3.png
202506,2,2.31731E+11,23173020008,1.75024E+12,134,SAARANG INTNL FOOD & BEV-INDIA,MANAN MANGO ,MANAN MAN\200ML\TPK\NON CARBONATED ,32,200ML,TPK,Sales Deviation is OK,1750240065931-saarang intnl food - bev-india-manan mango #3.png
202506,2,126751929,22202020024,1.7503E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\POMEGRANATE ,100,250ML,CAN,,
202506,2,1.31563E+11,13156020005,1.74988E+12,118,GANPATI BEVERAGE INDUSTRIES NEPAL ,MOXTAIN DEW,MOXTAIN DEW\500ML\PBT\CARBONATED ,85,250ML,PBT,,1749882821297-ganpati beverage industries nepal -moxtain dew#3.png
202506,2,128788034,22101020033,1.74963E+12,134,MARUTI DAIRY PRODUCT-NEPAL,SEASON,SEASON\250ML\CAN\MIXED FRUIT ,100,250ML,CAN,,1749626529881-maruti dairy product-nepal-season#3.png
202506,2,131343819,52201020001,1.74935E+12,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW/2.25 LTR/PBT/LEMON ,260,2.25L ,PBT,,
202506,2,126355065,52202020007,1.74935E+12,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW/2.25 LTR/PBT/LEMON ,0,2.25L ,PBT,Delete the Item,1749351514772-shambhavi food - beverages-nepal-maintain dew#3.png
