PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202306,2,126709011,31101020072,1687254902720,134,LEKHANATH FOOD BEVERAGE- NEPAL,LAKECITY,LAKECITY\2000MLJAR\RS:60\LEKHANATHFOOD & BEVRAGE PVT.LTD NEPAL,50,2000ML,JAR,Sales Deviation is OK,1687254902720-lekhanath food beverage- nepal-lakecity#3.png
202306,2,131347003,31101020110,1687247787010,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30,1600ML,PET,,1687247787010-south asian beverages p- ltd-nepal-appy#3.png
202306,2,131347003,31101020110,1687247697163,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ\250ML\PET\RS:50\SOUTH ASIAN BEVRAGES PVT LTD.NEPAL,50,250ML,PET,,1687247697163-south asian beverages p- ltd-nepal-appy#3.png
202306,3,3110102652,31101030426,1686297313972,125,PUJA TOBACCO PACKING INDUSTRIES,"TAJA ",TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,
202306,3,3110102665,31101030277,1687164306572,125,SHREE RAM TOBACCO UDHYOG,ZIT SUPER POWER,ZIT SUPER POWER\7GM\PPH\RS:20\SHREERAM TOBACCO UDHYOG PVT.LTD NEPAL,20,7GM,PPH,New SKU,1687164306572-shree ram tobacco udhyog-zit super power#3.png
202306,2,132803597,31303020004,1686815742965,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-LYCHEE PET 320ML,150,320ML,PET,,1686815742965-thai victor food co-ltd-thailand-joiner#3.png
202306,2,132803597,31303020004,1686640736592,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,"PBT ",,1686640736592-thai victor food co-ltd-thailand-joiner#3.png
202306,2,132803597,31303020004,1686640539821,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,"PBT ",,1686640539821-thai victor food co-ltd-thailand-joiner#3.png
202306,2,128587427,52203020002,1687142180027,118,"LS WATER & BEVERAGE-NEPAL ",IMJA SODA,IMJA SODA/500ML/PBT,70,"500ML ",PBT,,1687142180027-ls water - beverage-nepal -imja soda#3.png
202306,2,231732610191,23173020010,1686914613191,134,PEPSICO INDIA-INDIA,SLICE,"SLICE\250ML\PBT\MANGO ",32,250ML,PBT,,
202306,2,123117800,31101020078,1687070754230,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER PINAPPLE\320ML\PET\RS:140\THAI VICTOR FOOD CO.LTD THAILAND,140,320ML,PET,New SKU,1687070754230-thai victor food co-ltd-thailand-joiner#3.png
202306,2,126703975,22202020005,1687072627562,134,"VIBHA BEVERAGE PVT.LTD NEPAL ",VODA,"VODA\1000ML\PBT\MINERAL WATER ",25,1000ML,PBT,Sales Deviation is OK,1687072627562-vibha beverage pvt-ltd nepal -voda#3.png
202306,2,425393010107,42539020003,1686064133681,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,
