PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202405,2,129995584,21202020023,1716875204553,134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,"FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ",80,180ML,CAN,,
202405,2,111850613,31304020009,1717055408953,118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE PBT 2.25 L 250ML MOUNTAIN DEW FREE,270,2.25L,PBT,,1717055408953-varun beverage -nepal-mirinda orange#3.png
202405,2,116587488,41301020009,1716958991319,134,"R.R PROCESSED DRINKING WATER ","R.R DRINKING WATER ","R.R ",30,1000ML,PET,,
202405,2,112206294,41301020022,1716952566648,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202405,2,112313594,41301020012,1716952566648,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202405,2,112219456,41301020010,1716952566648,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202405,2,114766754,41301020020,1716952566648,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202405,2,112370930,41301020027,1716958991319,134,"R.R PROCESSED DRINKING WATER ","R.R DRINKING WATER ","R.R ",30,1000ML,PET,,
202405,2,324251110024,32425020002,1715669047893,134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,25,1000ML,PET,,
202405,2,324251110079,32425020001,1715669047893,134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,25,1000ML,PET,,
202405,2,116313561,11301020007,1715590123784,118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA PET 1.5LTR,160,1.5LTR,PET,,1715590123784-m-d-bottlers inds-np-chauca cola#3.png
202405,2,116313561,11301020007,1715590862959,118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,270,2.25LTR,PET,,1715590862959-varun beverage -nepal-mirinda orange#3.png
202405,2,116336450,11301020015,1716734419320,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,20,125ML,PET,,
202405,2,133182833,31315020002,1716968408589,134,"JAGADAMBA FOODS PVT LTD-NEPAL ",CHABAA BOOST,CHABAA BOOST MIXED FRUIT PBT 250ML,50,250ML,PBT,,1716968408589-jagadamba foods pvt ltd-nepal -chabaa boost#3.png
202405,2,133182833,31315020002,1716371269414,134,"JAGADAMBA FOODS PVT LTD-NEPAL ",CHABAA BOOST,CHABAA BOOST MANGO PBT 250ML,50,250ML,PBT,,1716371269414-jagadamba foods pvt ltd-nepal -chabaa boost#3.png
