PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202504,2,122167896,31101020073,1745220842849,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,NIMUE NIMBU PANI,NIMUE NIMBU PANI LEMON PET 2.25L,260,2.25L,PBT,,1745220842849-shambhavi food - beverages-nepal-nimue nimbu pani#3.png
202504,2,122167896,31101020073,1745220550483,118,SAMBHAVI BEVERAGE-NEPAL,NIMUE NIMBU PANI,NIMUE NIMBU PANI-LEMON-PET 500 ML,80,500ML,PBT,,1745220550483-sambhavi beverage-nepal-nimue nimbu pani#3.png
202504,2,116302425,31307020008,1745206122838,134,AGRO THAI FOODS PVT LTD-NEPAL,FRUIT SHOOT,FRUIT SHOOT PINK GUAVA\200ML\PET\RS:35\AGRO THAI FOODS PVT.LTD NWPAL,35,200ML,PET,New SKU,1745206122838-agro thai foods pvt ltd-nepal-fruit shoot#3.png
202504,2,129024634,22101020014,1745125983888,134,PEPSI COLA CMPNY IMPRTD-IMPRTD,STING,"STING \500ML\PBT\ENERGY DRINK ",48,500ML,PBT,,1745125983888-pepsi cola cmpny imprtd-imprtd-sting#3.png
202504,2,125932332,21301020004,1744893098897,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST-MIXED FRUIT TASTY & REFRESHING,REAL BURRST-MIXED FRUIT TASTY & REFRESHING\170\ML,25,170 ML,TPK,,1744893098897-dabur nepal ltd--nepal-real burrst-mixed fruit tasty - refreshing#3.png
202504,2,125932332,21301020004,1744896862973,134,CAVIN KARE LTD - INDIA,CAVINS KAJU BUTTERSCOTCH MILASHAKE,CAVINS - BUTTERSCOTCH MILKSHAKE\170\ML,90,170 ML,TPK,New SKU,1744896862973-cavin kare ltd - india-cavins kaju butterscotch milashake#3.png
202504,2,125932332,21301020004,1744897160835,134,CAVIN KARE LTD - INDIA,CAVINS BELGIAN CHOCOLATE MILKSHAKE,CAVINS BELGIAN CHOCOLATE MILKSHAKE\170\ML,90,170 ML,TPK,New SKU,1744897160835-cavin kare ltd - india-cavins belgian chocolate milkshake#3.png
202504,2,125932332,21301020004,1744896324949,134,CAVIN KARE LTD - INDIA,CAVINS CHOCOLATE MILASHAKE,CAVINS CHOCOLATE-CHOCOLATE MILKSHAKE\170\ML,90,170 ML,TPK,New SKU,1744896324949-cavin kare ltd - india-cavins chocolate milashake#3.png
202504,2,125932332,21301020004,1744896520924,134,CAVIN KARE LTD - INDIA,CAVINS STRAWEBERY MILASHAKE,CAVINS STRAWEBERY MILKSHAKE\170\ML,90,170 ML,TPK,,1744896520924-cavin kare ltd - india-cavins strawebery milashake#3.png
202504,2,125932332,21301020004,1744893455193,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST-GUAVA TASTY & REFRESHING,REAL BURRST-GUAVA TASTY & REFRESHING\170\ML,25,170 ML,TPK,,1744893455193-dabur nepal ltd--nepal-real burrst-guava tasty - refreshing#3.png
