PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202410,2,116304492,11301020014,1729484725533,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET,,1729484725533-agro thai foods pvt ltd-nepal-juice jelly#3.png
202410,3,1023173737366,21104030039,1730201341270,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,1730201341270-pt philip morris-indonesia-marlboro gold#3.png
202410,3,1023175036910,21104030050,1730201341270,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,
202410,2,222332210120,22233020006,1730012097789,134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET,,1730012097789-manohara food - beverage-npl-aqua queen#3.png
202410,2,222331810117,22233020007,1730012097789,134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET,Invoices not available,
202410,3,2110202671,21102030243,1729838893986,105,PY PHILIP MORRIS,MARLBORO SMOOTHFLO GOLD ADVANCE,MARLBORO SMOOTHFLO/GOLD ADVANCE/PT PHILIP MORRIS/INDONESIA/HL 20 NOS,350,20 NOS,HL CBP,,1729838893986-py philip morris-marlboro smoothflo gold advance#3.png
202410,2,232113810223,23211020007,1728972150794,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,"MOUNTAIN DEW ","MOUNTAIN DEW \400ML\PBT\CARBONATED ",50,400ML,PBT,Sales Deviation is OK,
202410,2,232114410218,23211020008,1728972150794,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,"MOUNTAIN DEW ","MOUNTAIN DEW \400ML\PBT\CARBONATED ",50,400ML,PBT,Sales Deviation is OK,1728972150794-pepsi cola cmpny imprtd-imprtd-mountain dew #3.png
